gene	Peak	P.value	Adj.Pvalue	Qvalue	chromo	start	end	strand	distance	model
Enc1	chr13_59174	1.24179950343101e-06	3.04201799601947e-05	0.000447245253822768	chr13	97485735	97486316	+	245	sleep
Ipmk	chr10_23001	3.67380769204235e-07	3.0830673052642e-05	0.000451172147029894	chr10	71524971	71525681	+	178	mix
Zc3h12c	chr9_204083	6.19725895215552e-07	3.11533090479001e-05	0.000453782942798642	chr9	52243747	52244559	+	133	sleep
Rsad1	chr11_37787	1.65150784407618e-07	3.14356763388767e-05	0.000455785820055762	chr11	96645215	96645993	+	2106	sleep
Etv3	chr3_132136	3.59109442085561e-07	3.24991894645982e-05	0.000466902446776664	chr3	86507483	86508156	+	1018	sleep
Eef1akmt1	chr14_65721	5.96927450667543e-07	3.24937291058022e-05	0.000466902446776664	chr14	56167856	56168956	+	1381	NA
Ankrd63	chr2_119478	3.09259285227502e-07	3.2947987774996e-05	0.000469066435203437	chr2	118287554	118288269	+	411	sleep
Dnaja4	chr9_204347	1.31198751976091e-06	3.28606266583157e-05	0.000469066435203437	chr9	55136302	55137051	+	438	mix
Inpp5a	chr7_188147	2.33636075061473e-07	3.34970102131668e-05	0.000474734513287487	chr7	139415381	139415994	+	27	sleep
Wdr19	chr5_157180	3.61062643954847e-07	3.49763877379614e-05	0.000493478034905796	chr5	65194368	65194924	+	5	sleep
Grasp	chr15_80111	1.66162640975059e-07	3.53489954254901e-05	0.000496508620023611	chr15	101581648	101582138	+	358	sleep
Xpot	chr10_27980	7.63919927791982e-07	3.59696993679149e-05	0.000502981515235887	chr10	121427940	121428921	+	159	mix
Cog6	chr3_129322	2.12259514231657e-07	3.79369177091885e-05	0.000528142769280895	chr3	52048107	52048537	+	934	sleep
Furin	chr7_183214	1.53678493943751e-07	3.86167770575167e-05	0.000535239187345022	chr7	80397895	80398544	+	10	sleep
Nat8f5	chr6_172189	2.00534018017204e-07	3.88959207435099e-05	0.000536743686239011	chr6	86318588	86319225	+	502	NA
Ikbkb	chr8_190352	2.60598026488261e-07	3.93739914862683e-05	0.000540968149101867	chr8	23047992	23048804	+	389	sleep
Nr4a3	chr4_142116	1.06531456483012e-06	3.964114611947e-05	0.000542270652742408	chr4	47504753	47505223	+	540	sleep
Prdx4	chrX_214408	2.65743231899653e-06	3.98567908162872e-05	0.000542860299992214	chrX	157028885	157029282	+	1705	sleep
Dgat2	chr7_184404	4.65370283277716e-07	4.02794559075307e-05	0.000543907953391177	chr7	97764828	97766033	+	1388	mix
Pdia5	chr16_83628	1.1851717030653e-06	4.02309913691938e-05	0.000543907953391177	chr16	35172137	35172736	+	225	sleep
Zfp598	chr17_89675	2.81540750350684e-07	4.07504061264665e-05	0.000547915793339482	chr17	24986893	24987745	+	318	sleep
Alg6	chr4_146216	2.87137729176065e-07	4.30918598170114e-05	0.000576932641515056	chr4	101182514	101183284	+	1467	sleep
Kctd18	chr1_4587	1.21145024361101e-06	4.37463731449188e-05	0.000580752973340351	chr1	58152087	58152745	+	197	sleep
Thap3	chr4_151520	5.16135753537666e-07	4.36265340212278e-05	0.000580752973340351	chr4	151339058	151340153	+	643	sleep
Cbln2	chr18_103753	1.93561273595249e-06	4.47412519650993e-05	0.000591464809450255	chr18	86692653	86693227	+	18	sleep
Tmem178	chr17_94492	2.20284508889799e-06	4.55484434471349e-05	0.00059961622260104	chr17	80760141	80760906	+	184	sleep
Fam46a	chr9_207303	3.79878763736103e-07	4.63767097702005e-05	0.000605453266227182	chr9	85673741	85675005	+	354	mixedaf
Ippk	chr13_55204	2.27560188595319e-07	4.62673004015004e-05	0.000605453266227182	chr13	48609012	48609754	+	812	flat
Otud1	chr2_110569	8.13172222379273e-07	4.65852785109886e-05	0.000605663030456758	chr2	20281680	20282463	+	624	sleep
Atg10	chr13_58398	1.09324341599833e-06	4.74229108576367e-05	0.000614015973197959	chr13	90992770	90994197	+	58	sleep
Prdm15	chr16_88247	7.29148363969349e-07	4.78024837191737e-05	0.000616393954895549	chr16	97288227	97289286	+	503	sleep
Mthfd1l	chr10_16997	8.67321163945592e-07	4.85212183449102e-05	0.000618396564778329	chr10	3643273	3643758	+	330	mixedaf
Mdm2	chr10_27483	5.06875580166111e-07	4.85474347515281e-05	0.000618396564778329	chr10	116733053	116734184	+	955	sleep
Ptk2	chr15_76364	9.7109009627707e-07	4.85237946751114e-05	0.000618396564778329	chr15	72077299	72077791	+	1128	sleep
Ctnnd1	chr2_116737	5.2533291672016e-07	4.87869357621439e-05	0.000618941489410539	chr2	84714534	84716403	+	115	sleep
Spata7	chr12_48906	2.10700146927359e-06	4.91419519307672e-05	0.00062094164893353	chr12	98282586	98283415	+	345	sleep
Bdnf	chr2_118795	2.12356704639025e-07	5.07310762327448e-05	0.000636972345270001	chr2	110199360	110200001	+	525	sleep
Prkg2	chr5_159656	1.99635151336597e-06	5.08155422179762e-05	0.000636972345270001	chr5	98943551	98944236	+	14	mix
Cntln	chr4_145001	1.61029045124463e-06	5.24399467252746e-05	0.000654725771330536	chr4	85727906	85729083	+	844	sleep
Fv1	chr4_151025	2.30705431109451e-07	5.35909761428692e-05	0.000666452008923744	chr4	148325764	148326663	+	457	sleep
Cyb5a	chr18_103601	8.77515498451306e-07	5.4028726107289e-05	0.000669250564465954	chr18	84709661	84710299	+	141	circadian
Hist1h2bc	chr13_52766	4.90283934963015e-07	5.55490465274676e-05	0.00068538431815598	chr13	23533625	23533937	+	150	sleep
Kctd4	chr14_67831	9.78384057766413e-07	5.65818531591659e-05	0.000695400401220617	chr14	76220852	76221435	+	266	circadian
Tubb2b	chr13_53742	7.38536761769242e-07	5.68137505511515e-05	0.000695533530944342	chr13	34715053	34716304	+	589	flat
Prss23	chr7_183777	2.5267404548767e-06	5.81863172911389e-05	0.000709575970419177	chr7	89560907	89561631	+	53	flat
Cnppd1	chr1_6315	1.35433492289049e-07	5.90645869475754e-05	0.000717505347286918	chr1	77723546	77724248	+	2589	sleep
Fzd1	chr5_152323	2.28053089543672e-06	5.99465054036153e-05	0.000722638504526243	chr5	4917777	4918400	+	164	mix
Polb	chr8_190386	3.54394520081495e-07	5.98830151966144e-05	0.000722638504526243	chr8	23270243	23271534	+	643	sleep
Haus6	chr4_145001	4.96519237233967e-07	6.15128474941971e-05	0.000736500997305257	chr4	85727906	85729083	+	850	sleep
Hacd3	chr9_205461	2.53909976232156e-06	6.15646412107344e-05	0.000736500997305257	chr9	64399149	64399656	+	588	ampfree.step
H13	chr2_122904	4.05129524153906e-07	6.19905017477011e-05	0.000737452378337701	chr2	151733108	151733960	+	936	sleep
St7	chr6_166467	1.74545019541113e-06	6.21129447682742e-05	0.000737452378337701	chr6	17309307	17309652	+	383	circadian
Zfp532	chr18_101510	7.76214505151864e-07	6.29541208130032e-05	0.000744629540796377	chr18	65565136	65566189	+	15	sleep
Ccdc142	chr6_171875	1.21890361029682e-06	6.33536428766736e-05	0.000746548566246195	chr6	83506159	83507367	+	405	sleep
Zfp334	chr2_124622	3.57501412784813e-07	6.44389620031137e-05	0.000756504432542454	chr2	165855635	165856316	+	482	sleep
Pnpo	chr11_37705	3.63563103719051e-07	6.47751350830559e-05	0.00075762410204121	chr11	95506969	95507683	+	1430	sleep
Cecr6	chr6_175979	1.06464166848828e-06	6.64900588926473e-05	0.000766000096948371	chr6	120255504	120256295	+	233	mix
Hif1a	chr12_46651	2.56891565215996e-06	6.61886225248411e-05	0.000766000096948371	chr12	73725735	73726519	+	175	sleep
Csdc2	chr15_77591	1.5127495259957e-07	6.61413970669496e-05	0.000766000096948371	chr15	80414098	80414870	+	1522	sleep
Srsf7	chr17_94296	1.03209691667996e-06	6.65111222590361e-05	0.000766000096948371	chr17	79099712	79100451	+	1100	sleep
Med14	chrX_211534	2.17049614403439e-06	6.67085733013799e-05	0.000766000096948371	chrX	13070338	13072425	+	396	sleep
Arl4d	chr11_38497	1.78781075151698e-07	6.77388145886415e-05	0.000775001661264991	chr11	101807041	101807788	+	142	sleep
Apcdd1	chr18_101157	4.13496071577206e-07	6.8923066992959e-05	0.000785693658104646	chr18	62169016	62169556	+	753	sleep
Sgk1	chr10_18742	1.49723910646579e-06	6.92164794029446e-05	0.000786189920616407	chr10	21652246	21652959	+	230	circadian
Rsrp1	chr4_149627	1.34192876176913e-06	7.16070625259573e-05	0.000810417475561725	chr4	134580284	134581062	+	343	sleep
Ikbkap	chr4_142779	1.58363747731291e-06	7.29897288307582e-05	0.000823105079595424	chr4	55615704	55616268	+	1134	sleep
Ndufa8	chr2_112526	1.14421177385016e-06	7.55120557524704e-05	0.000825182963789681	chr2	35978382	35978963	+	58	flat
Snx30	chr4_143028	3.12989827071432e-07	7.55099756798638e-05	0.000825182963789681	chr4	57622453	57623338	+	2183	sleep
Cep41	chr6_167451	8.90724635632434e-07	7.51473458730797e-05	0.000825182963789681	chr6	30028196	30028914	+	625	sleep
Zmat4	chr8_190352	3.857500163638e-07	7.49989290105393e-05	0.000825182963789681	chr8	23047992	23048804	+	588	sleep
Saraf	chr8_191290	1.6672599529343e-06	7.47264949097528e-05	0.000825182963789681	chr8	34207613	34208813	+	54	ampfree.step
Cldn22	chr8_192670	9.35116090733061e-07	7.41882574488219e-05	0.000825182963789681	chr8	49348520	49349431	+	1524	sleep
Fn3krp	chr11_41201	6.62375409710077e-07	7.50854044772408e-05	0.000825182963789681	chr11	121679503	121680155	+	258	sleep
1700123O20Rik	chr14_65638	9.63332761761952e-07	7.5796711012532e-05	0.000825182963789681	chr14	55372785	55373508	+	687	sleep
Ankrd33b	chr15_72876	9.18936805293593e-07	7.46058265025008e-05	0.000825182963789681	chr15	30276613	30277197	+	1015	mix
Aaas	chr15_80111	3.88536710991685e-07	7.57659658156989e-05	0.000825182963789681	chr15	101581648	101582138	+	756	sleep
Mmp17	chr5_163267	2.18281843510434e-06	7.63932475344776e-05	0.000828809479456325	chr5	129534181	129535128	+	50	sleep
Slc23a3	chr1_6085	5.99741019049779e-07	7.86554211937626e-05	0.000839253853733337	chr1	75133345	75133858	+	8	mixedaf
Bmper	chr9_200971	1.33013770183423e-06	7.92231412586864e-05	0.000839253853733337	chr9	23167067	23167547	+	56	sleep
Ptpn9	chr9_204562	1.14947693973096e-06	7.90225641050969e-05	0.000839253853733337	chr9	57031447	57032302	+	37	sleep
Plekhm1	chr11_38834	8.17330415588443e-07	7.88536981708773e-05	0.000839253853733337	chr11	104028813	104030094	+	665	sleep
Wdyhv1	chr15_75052	1.41787168735894e-06	7.86906363837595e-05	0.000839253853733337	chr15	58324008	58324541	+	183	flat
Nxpe3	chr16_85151	2.03024138572965e-06	7.80383174977112e-05	0.000839253853733337	chr16	53974127	53974747	+	1866	sleep
Zfand5	chr19_105438	1.38437835540152e-06	7.8493232274416e-05	0.000839253853733337	chr19	21737959	21739042	+	466	sleep
Srrm4	chr5_161512	1.1570376312396e-06	8.22580035045319e-05	0.000864121317707915	chr5	115938845	115939456	+	500	ampfree.step
Prosc	chr8_190723	2.42512221365167e-06	8.26273726320542e-05	0.000864121317707915	chr8	26535598	26536263	+	507	mix
Adam19	chr11_32403	1.58484780920178e-06	8.26691514519135e-05	0.000864121317707915	chr11	45641827	45642612	+	414	sleep
Galk1	chr11_40212	1.33913387541039e-07	8.23952034788882e-05	0.000864121317707915	chr11	115673570	115674619	+	334	sleep
Cnn3	chr3_135404	2.85275641147083e-06	8.33042739253639e-05	0.000867876792870281	chr3	121703871	121704199	+	278	circadian
Acsl1	chr8_192266	1.01954740250035e-06	8.43573284567567e-05	0.000872560932194916	chr8	46293096	46294296	+	177	sleep
Cwc27	chr13_59977	9.49142597167642e-07	8.44319489767351e-05	0.000872560932194916	chr13	104554774	104555399	+	76	sleep
Camk2g	chr14_62708	1.12118794822469e-06	8.45858793389339e-05	0.000872560932194916	chr14	20914224	20914961	+	180	sleep
Eml5	chr12_49012	1.05041117279486e-06	8.52946094813492e-05	0.000876996567541568	chr12	99183100	99183980	+	397	mix
Kif13b	chr14_66719	7.1739634624276e-07	8.57112390598977e-05	0.00087840972013292	chr14	65345511	65345819	+	698	circadian
Amer3	chr1_2437	4.08989056678363e-07	8.62863373369429e-05	0.00088143248639616	chr1	35402841	35403963	+	824	mix
Mdm1	chr10_27668	1.20452551025627e-06	8.75560232754297e-05	0.000891508079757378	chr10	118442887	118443462	+	301	sleep
Dpy19l3	chr7_180386	1.64627947413523e-06	8.86603023885082e-05	0.000896946530082365	chr7	38084516	38085662	+	2400	sleep
Erlin2	chr8_190760	4.25641277106779e-06	8.86320198671694e-05	0.000896946530082365	chr8	26872248	26873194	+	151	sleep
Cers6	chr2_115236	2.06002511115446e-06	8.99663191028601e-05	0.00089724323158083	chr2	68983217	68983815	+	122	flat
Moxd1	chr10_19045	3.3596904056874e-07	8.91853324147409e-05	0.00089724323158083	chr10	24984596	24985520	+	762	sleep
Akap1	chr11_36965	1.45694073787129e-06	8.95719525833607e-05	0.00089724323158083	chr11	87801674	87802366	+	1029	sleep
Fam20a	chr11_39438	5.50512362869979e-07	9.01155086868798e-05	0.00089724323158083	chr11	108897936	108898539	+	772	sleep
B3galnt2	chr13_51966	2.47076761971654e-06	9.00934345757011e-05	0.00089724323158083	chr13	13493468	13494006	+	461	sleep
Zfhx2	chr14_65638	8.94854939365227e-07	9.1569223259583e-05	0.000908841192785125	chr14	55372785	55373508	+	313	sleep
Hnrnph1	chr11_32872	9.20334704436434e-07	9.45436529184004e-05	0.000935412121170547	chr11	50439781	50440314	+	63	sleep
Atf4	chr15_77591	5.84404778276823e-07	9.59291869480205e-05	0.000946145254564363	chr15	80414098	80414870	+	159	mixedaf
Kazn	chr4_150820	2.27921777086523e-06	9.95424593673923e-05	0.000975539953655433	chr4	142887755	142888468	+	786	sleep
Tubgcp2	chr7_188257	5.84184454315466e-07	9.92394846125291e-05	0.000975539953655433	chr7	140054086	140054677	+	58	sleep
Fmnl1	chr11_38835	1.25465565784812e-06	9.98396839543671e-05	0.000975539953655433	chr11	104045194	104045803	+	874	sleep
Ago2	chr15_76364	1.68004592039636e-06	0.000102680133039871	0.00100018798991823	chr15	72077299	72077791	+	1018	sleep
Zfand3	chr17_90594	1.36235441044299e-06	0.000103982684864512	0.00100974974366011	chr17	30971646	30972402	+	967	sleep
Tmem200b	chr4_149229	1.6597448243047e-06	0.000105019295466404	0.00101667811351996	chr4	131762232	131762746	+	159	sleep
Prdm2	chr4_150820	2.46817635132461e-06	0.000107799976300455	0.00103598006105117	chr4	142887755	142888468	+	219	sleep
Casp3	chr8_192266	2.79180197561558e-06	0.000108330203722785	0.00103598006105117	chr8	46293096	46294296	+	324	sleep
Atp6ap1l	chr13_58381	8.87677200913144e-06	0.000107899374658349	0.00103598006105117	chr13	90894580	90895559	+	12	sleep
Syt7	chr19_104608	2.05396132894765e-06	0.000108173175764344	0.00103598006105117	chr19	10182397	10183699	+	206	flat
Agbl4	chr4_147300	1.58010117620995e-06	0.00010979863916709	0.00103839190370628	chr4	111498427	111499242	+	1101	flat
Klhl21	chr4_151547	2.88736191924841e-06	0.000109561339487823	0.00103839190370628	chr4	151592732	151593570	+	416	flat
Tra2a	chr6_169359	6.33689107275366e-07	0.00010990255573431	0.00103839190370628	chr6	49318734	49319884	+	75	sleep
Noc3l	chr19_107036	2.73350328543653e-06	0.000109322400319427	0.00103839190370628	chr19	38506150	38506565	+	282	sleep
Echs1	chr7_188287	7.33766092082085e-07	0.000110334586578849	0.0010388522855084	chr7	140478580	140479357	+	373	sleep
Eaf1	chr14_63917	2.10159831037675e-06	0.00011061165023142	0.0010388522855084	chr14	31428193	31429350	+	66	mix
Gabra4	chr5_157777	2.18990546007318e-06	0.000111835439253614	0.00104411246827614	chr5	72245228	72246032	+	676	sleep
Nptx2	chr5_164905	1.30888232396991e-06	0.000111777847638839	0.00104411246827614	chr5	144585002	144585716	+	39	mixedaf
Ak3	chr19_106009	1.85146727259027e-06	0.000113262371455743	0.00105430601726221	chr19	27134146	27134931	+	1886	sleep
Sowahb	chr5_159353	5.35493112658667e-06	0.000114277272457839	0.00106061533700777	chr5	92961417	92962145	+	79	sleep
Ankrd6	chr4_140977	4.7381350685323e-07	0.000116331501624172	0.00107436651297981	chr4	33243973	33244266	+	440	sleep
Nfya	chr17_92030	1.25843932857418e-06	0.000116441852835777	0.00107436651297981	chr17	49710156	49710829	+	1324	sleep
Spdya	chr17_93827	3.69071934190625e-06	0.000119220925692203	0.00109679160709996	chr17	72671774	72672831	+	1120	sleep
Lyrm4	chr13_53910	2.83349177264499e-06	0.000121253804483779	0.00111224122709316	chr13	36492310	36493139	+	514	sleep
Soat1	chr1_12651	7.85091247418573e-06	0.000121824223410942	0.00111422511646754	chr1	156593070	156593772	+	169	mixedaf
Fcgr3	chr1_14451	1.14909856766481e-06	0.000122571098985054	0.00111560283382875	chr1	171924731	171925312	+	874	sleep
Mpv17l	chr16_81591	2.2935607155658e-06	0.000122684012801688	0.00111560283382875	chr16	16216993	16217299	+	2314	sleep
Gm5263	chr1_11585	1.0962424871193e-06	0.000123493227984966	0.00111972507260328	chr1	143917265	143918384	+	2503	NA
Chst15	chr7_187471	4.53957281558781e-06	0.000124327557411171	0.00112405067927768	chr7	132174246	132175219	+	61	sleep
Cat	chr2_117892	5.41104623057399e-07	0.000127005793994699	0.00114170321621465	chr2	101796307	101798088	+	1657	flat
Plekhh2	chr17_94815	3.16060944999949e-06	0.000126821917780033	0.00114170321621465	chr17	84148529	84149331	+	363	sleep
Rybp	chr6_173896	1.47745578226846e-06	0.00012845131433114	0.00114813676484408	chr6	100438370	100439598	+	210	sleep
Rundc1	chr11_38497	3.18758032844088e-07	0.000128143045262106	0.00114813676484408	chr11	101807041	101807788	+	382	sleep
Rbm24	chr13_55037	6.98831317443308e-06	0.000129223490351689	0.00115176664373587	chr13	46626556	46627083	+	208	sleep
Heatr3	chr8_195728	3.20026985605501e-06	0.000130638050853633	0.00116108540225629	chr8	88059634	88060571	+	78	flat
Gskip	chr12_49711	1.88157362474314e-06	0.000131819971528976	0.00116500811491384	chr12	104837002	104837786	+	847	sleep
Gmpr	chr13_54891	1.7387348908583e-06	0.000131519746432895	0.00116500811491384	chr13	45797586	45798260	+	290	sleep
Zdhhc5	chr2_116737	2.54050146059788e-06	0.000133952604580885	0.00117799511359477	chr2	84714534	84716403	+	27	sleep
Colgalt1	chr8_194005	3.56139494282161e-07	0.000134038259757128	0.00117799511359477	chr8	70351288	70351654	+	1260	sleep
Eed	chr7_183740	3.54783500351973e-06	0.000135802793730639	0.00119017819857184	chr7	89178417	89179079	+	776	sleep
Bicd1	chr6_178647	3.34207224662134e-06	0.000137464403501152	0.00119806611433194	chr6	149060518	149061453	+	348	flat
Pofut2	chr10_23366	4.04216000165781e-07	0.000137191689954612	0.00119806611433194	chr10	75835307	75835709	+	1424	sleep
Fkbp1a	chr2_123190	5.08089872133869e-07	0.000137870278409483	0.00119828415595205	chr2	153921174	153921825	+	2379	flat
Prr14l	chr5_154307	5.78483288868017e-07	0.000139470132558995	0.00120884974601238	chr5	30606189	30607122	+	2183	sleep
Spty2d1	chr7_180772	4.15450387451026e-07	0.00014134874783559	0.00121700358287956	chr7	45704007	45704508	+	1286	mix
Polr3e	chr7_186423	1.68118969170933e-06	0.000141463833434047	0.00121700358287956	chr7	121295947	121296860	+	379	circadian
Net1	chr13_51228	9.10208415227552e-07	0.00014157129582809	0.00121700358287956	chr13	3889383	3890212	+	8	mix
Prelp	chr1_10867	4.59466350564659e-07	0.000142617433382184	0.00121989495570496	chr1	135449737	135450426	+	1540	ampfree.step
Akap7	chr10_19020	5.73023805621297e-07	0.000142683094340275	0.00121989495570496	chr10	24778298	24779314	+	390	sleep
Ier5	chr1_12454	2.44491242203844e-06	0.000143120897952009	0.00122032194473085	chr1	154802244	154802795	+	294	sleep
Gkn3	chr6_172355	1.24413049729885e-06	0.000145630250469839	0.00123836197266749	chr6	87483524	87484430	+	101	mix
Bhlhe41	chr6_178242	2.11924828678353e-06	0.000146216234978004	0.00123999353848044	chr6	145373458	145374360	+	484	mixedaf
Aff3	chr1_2891	3.90276266187145e-06	0.000147622399657817	0.00124603404454769	chr1	38806384	38807624	+	630	sleep
Ak4	chr4_146216	1.42945191864904e-06	0.000147720580382261	0.00124603404454769	chr4	101182514	101183284	+	236	sleep
Klhl8	chr5_160154	1.75335839500449e-06	0.000148681759726111	0.00125078834359948	chr5	103261381	103261801	+	600	sleep
Cdkl4	chr17_94323	2.75257641770813e-06	0.000151608637998833	0.00127200967153242	chr17	79376425	79376985	+	1147	mixedaf
Igfbp6	chr15_80111	1.37127905918859e-06	0.000152271896275148	0.00127417666178113	chr15	101581648	101582138	+	562	flat
Rbm28	chr6_167264	1.46608201732679e-06	0.000156652919078919	0.00130080982972682	chr6	28753191	28754528	+	370	sleep
Slc9a5	chr8_197207	1.08198587332529e-06	0.000156921580742881	0.00130080982972682	chr8	105919438	105920040	+	571	mix
Tgfb3	chr12_48084	9.41720660677435e-07	0.000156866823113229	0.00130080982972682	chr12	86085748	86086289	+	29	sleep
Naa16	chr14_68195	2.46506192711047e-06	0.000157108496217139	0.00130080982972682	chr14	79065425	79066091	+	268	ampfree.step
Fos	chr12_48101	7.35120000356541e-07	0.00015787871397668	0.00130375605791919	chr12	86157941	86159382	+	685	sleep
Pofut1	chr2_123190	1.00915309337879e-06	0.000158501684945051	0.00130547408590155	chr2	153921174	153921825	+	680	mix
Slco1a6	chr6_177891	3.03636226015972e-06	0.00015986135387572	0.00131272645883662	chr6	141567966	141568884	+	517	sleep
Med7	chr11_32701	1.27711483061551e-06	0.000160231215131139	0.00131272645883662	chr11	49232411	49233522	+	2796	sleep
